0	0	0	Rest	181.0
1	1	2	Rest	181.0
2	2	4	Rest	181.0
3	3	6	Rest	181.0
4	4	8	Rest	181.0
5	5	10	Rest	181.0
6	6	12	Rest	181.0
7	7	14	Archery	1.0
8	8	16	Archery	1.0
9	9	18	Getting_a_piercing	53.0
10	10	20	Getting_a_piercing	53.0
11	11	22	Hand_washing_clothes	59.0
12	12	24	Hand_washing_clothes	59.0
13	13	26	Rope_skipping	130.0
14	14	28	Rope_skipping	130.0
15	15	30	Baking_cookies	5.0
16	16	32	Baking_cookies	5.0
17	17	34	Rest	181.0
18	18	36	Rest	181.0
19	19	38	Having_an_ice_cream	61.0
20	20	40	Having_an_ice_cream	61.0
21	21	42	Paintball	85.0
22	22	44	Paintball	85.0
23	23	46	Mooping_floor	83.0
24	24	48	Mooping_floor	83.0
25	25	50	Zumba	180.0
26	26	52	Zumba	180.0
27	27	54	Clean_and_jerk	27.0
28	28	56	Clean_and_jerk	27.0
29	29	58	Rest	181.0
30	30	60	Rest	181.0
31	31	62	Laying_tile	75.0
32	32	64	Laying_tile	75.0
33	33	66	Hammer_throw	57.0
34	34	68	Hammer_throw	57.0
35	35	70	Grooming_horse	56.0
36	36	72	Grooming_horse	56.0
37	37	74	Beach_soccer	9.0
38	38	76	Beach_soccer	9.0
39	39	78	Painting_furniture	88.0
40	40	80	Painting_furniture	88.0
41	41	82	Rest	181.0
42	42	84	Rest	181.0
43	43	86	Chopping_wood	26.0
44	44	88	Chopping_wood	26.0
45	45	90	Hopscotch	64.0
46	46	92	Hopscotch	64.0
47	47	94	Fixing_the_roof	49.0
48	48	96	Fixing_the_roof	49.0
49	49	98	Polishing_shoes	117.0
50	50	100	Polishing_shoes	117.0
51	51	102	Long_jump	76.0
52	52	104	Long_jump	76.0
53	53	106	Rest	181.0
54	54	108	Rest	181.0
55	55	110	Futsal	51.0
56	56	112	Futsal	51.0
57	57	114	Pole_vault	115.0
58	58	116	Pole_vault	115.0
59	59	118	Longboarding	77.0
60	60	120	Longboarding	77.0
61	61	122	Raking_leaves	125.0
62	62	124	Raking_leaves	125.0
63	63	126	Playing_field_hockey	99.0
64	64	128	Playing_field_hockey	99.0
65	65	130	Rest	181.0
66	66	132	Rest	181.0
67	67	134	Braiding_hair	13.0
68	68	136	Braiding_hair	13.0
69	69	138	Volleyball	170.0
70	70	140	Volleyball	170.0
71	71	142	Plastering	90.0
72	72	144	Plastering	90.0
73	73	146	Baton_twirling	8.0
74	74	148	Baton_twirling	8.0
75	75	150	Hurling	67.0
76	76	152	Hurling	67.0
77	77	154	Rest	181.0
78	78	156	Rest	181.0
79	79	158	Powerbocking	118.0
80	80	160	Powerbocking	118.0
81	81	162	Playing_guitarra	101.0
82	82	164	Playing_guitarra	101.0
83	83	166	Mixing_drinks	82.0
84	84	168	Mixing_drinks	82.0
85	85	170	Capoeira	23.0
86	86	172	Capoeira	23.0
87	87	174	Snow_tubing	145.0
88	88	176	Snow_tubing	145.0
89	89	178	Rest	181.0
90	90	180	Rest	181.0
91	91	182	Drinking_coffee	45.0
92	92	184	Drinking_coffee	45.0
93	93	186	Hand_car_wash	58.0
94	94	188	Hand_car_wash	58.0
95	95	190	Brushing_hair	15.0
96	96	192	Brushing_hair	15.0
97	97	194	Cleaning_shoes	28.0
98	98	196	Cleaning_shoes	28.0
99	99	198	Hitting_a_pinata	63.0
100	100	200	Hitting_a_pinata	63.0
101	101	202	Rest	181.0
102	102	204	Rest	181.0
103	103	206	Doing_karate	40.0
104	104	208	Doing_karate	40.0
105	105	210	Making_a_lemonade	79.0
106	106	212	Making_a_lemonade	79.0
107	107	214	Arm_wrestling	2.0
108	108	216	Arm_wrestling	2.0
109	109	218	Calf_roping	20.0
110	110	220	Calf_roping	20.0
111	111	222	Carving_jack-o-lanterns	24.0
112	112	224	Carving_jack-o-lanterns	24.0
113	113	226	Rest	181.0
114	114	228	Rest	181.0
115	115	230	Getting_a_tattoo	54.0
116	116	232	Getting_a_tattoo	54.0
117	117	234	Playing_beach_volleyball	95.0
118	118	236	Playing_beach_volleyball	95.0
119	119	238	Playing_bagpipes	94.0
120	120	240	Playing_bagpipes	94.0
121	121	242	Using_parallel_bars	163.0
122	122	244	Using_parallel_bars	163.0
123	123	246	Swimming	153.0
124	124	248	Swimming	153.0
125	125	250	Rest	181.0
126	126	252	Rest	181.0
127	127	254	Vacuuming_floor	169.0
128	128	256	Vacuuming_floor	169.0
129	129	258	Ice_fishing	68.0
130	130	260	Ice_fishing	68.0
131	131	262	Dodgeball	37.0
132	132	264	Dodgeball	37.0
133	133	266	Doing_motocross	42.0
134	134	268	Doing_motocross	42.0
135	135	270	Putting_on_shoes	123.0
136	136	272	Putting_on_shoes	123.0
137	137	274	Rest	181.0
138	138	276	Rest	181.0
139	139	278	Shuffleboard	138.0
140	140	280	Shuffleboard	138.0
141	141	282	Welding	177.0
142	142	284	Welding	177.0
143	143	286	Surfing	152.0
144	144	288	Surfing	152.0
145	145	290	Preparing_pasta	119.0
146	146	292	Preparing_pasta	119.0
147	147	294	Playing_kickball	104.0
148	148	296	Playing_kickball	104.0
149	149	298	Rest	181.0
150	150	300	Rest	181.0
151	151	302	Rest	181.0
152	152	304	Rest	181.0
153	153	306	Rest	181.0
154	154	308	Rest	181.0
155	155	310	Rest	181.0
